# RRKM rate for corannulene isomer 
En(eV)     K(E) s-1
10.476592  3.496972e+10
10.488990  3.529232e+10
10.501389  3.561687e+10
10.513787  3.594399e+10
10.526185  3.627348e+10
10.538584  3.660532e+10
10.550982  3.693941e+10
10.563380  3.727597e+10
10.575779  3.761491e+10
10.588177  3.795635e+10
10.600575  3.830012e+10
10.612974  3.864646e+10
10.625372  3.899511e+10
10.637770  3.934632e+10
10.650169  3.969999e+10
10.662567  4.005616e+10
10.674965  4.041476e+10
10.687364  4.077592e+10
10.699762  4.113961e+10
10.712160  4.150587e+10
10.724559  4.187463e+10
10.736957  4.224593e+10
10.749355  4.261988e+10
10.761754  4.299629e+10
10.774152  4.337536e+10
10.786550  4.375695e+10
10.798949  4.414138e+10
10.811347  4.452830e+10
10.823745  4.491788e+10
10.836144  4.531036e+10
10.848542  4.570533e+10
10.860940  4.610302e+10
10.873339  4.650322e+10
10.885737  4.690648e+10
10.898135  4.731200e+10
10.910534  4.772050e+10
10.922932  4.813165e+10
10.935330  4.854575e+10
10.947729  4.896245e+10
10.960127  4.938214e+10
10.972525  4.980445e+10
10.984924  5.022984e+10
10.997322  5.065777e+10
11.009720  5.108852e+10
11.022119  5.152230e+10
11.034517  5.195886e+10
11.046915  5.239822e+10
11.059314  5.284067e+10
11.071712  5.328584e+10
11.084110  5.373395e+10
11.096509  5.418496e+10
11.108907  5.463909e+10
11.121305  5.509606e+10
11.133704  5.555598e+10
11.146102  5.601891e+10
11.158500  5.648484e+10
11.170899  5.695353e+10
11.183297  5.742554e+10
11.195695  5.790062e+10
11.208094  5.837867e+10
11.220492  5.885983e+10
11.232890  5.934383e+10
11.245289  5.983114e+10
11.257687  6.032144e+10
11.270085  6.081487e+10
11.282484  6.131153e+10
11.294882  6.181134e+10
11.307280  6.231413e+10
11.319679  6.282023e+10
11.332077  6.332916e+10
11.344475  6.384187e+10
11.356874  6.435769e+10
11.369272  6.487655e+10
11.381670  6.539864e+10
11.394069  6.592352e+10
11.406467  6.645218e+10
11.418865  6.698415e+10
11.431264  6.751935e+10
11.443662  6.805787e+10
11.456060  6.859953e+10
11.468459  6.914474e+10
11.480857  6.969304e+10
11.493255  7.024480e+10
11.505654  7.080000e+10
11.518052  7.135860e+10
11.530450  7.192052e+10
11.542849  7.248577e+10
11.555247  7.305464e+10
11.567645  7.362662e+10
11.580044  7.420213e+10
11.592442  7.478176e+10
11.604840  7.536398e+10
11.617239  7.595041e+10
11.629637  7.653986e+10
11.642035  7.713321e+10
11.654434  7.773010e+10
11.666832  7.833014e+10
11.679230  7.893379e+10
11.691629  7.954140e+10
11.704027  8.015222e+10
11.716425  8.076677e+10
11.728824  8.138502e+10
11.741222  8.200691e+10
11.753620  8.263276e+10
11.766019  8.326125e+10
11.778417  8.389408e+10
11.790815  8.453051e+10
11.803214  8.517102e+10
11.815612  8.581536e+10
11.828010  8.646242e+10
11.840409  8.711403e+10
11.852807  8.776956e+10
11.865205  8.842798e+10
11.877604  8.909098e+10
11.890002  8.975757e+10
11.902400  9.042796e+10
11.914799  9.110193e+10
11.927197  9.177999e+10
11.939595  9.246209e+10
