       No.    E-Emin     Density     Sum
       535    53400.0  5.72242E+39  6.55664E+42
       536    53500.0  6.26141E+39  7.18279E+42
       537    53600.0  6.85041E+39  7.86783E+42
       538    53700.0  7.49397E+39  8.61722E+42
       539    53800.0  8.19709E+39  9.43693E+42
       540    53900.0  8.96517E+39  1.03335E+43
       541    54000.0  9.80414E+39  1.13139E+43
       542    54100.0  1.07204E+40  1.23859E+43
       543    54200.0  1.17211E+40  1.35580E+43
       544    54300.0  1.28137E+40  1.48394E+43
       545    54400.0  1.40067E+40  1.62401E+43
       546    54500.0  1.53090E+40  1.77710E+43
       547    54600.0  1.67306E+40  1.94440E+43
       548    54700.0  1.82822E+40  2.12722E+43
       549    54800.0  1.99756E+40  2.32698E+43
       550    54900.0  2.18235E+40  2.54521E+43
       551    55000.0  2.38397E+40  2.78361E+43
       552    55100.0  2.60394E+40  3.04401E+43
       553    55200.0  2.84390E+40  3.32840E+43
       554    55300.0  3.10565E+40  3.63896E+43
       555    55400.0  3.39112E+40  3.97807E+43
       556    55500.0  3.70243E+40  4.34832E+43
       557    55600.0  4.04190E+40  4.75251E+43
       558    55700.0  4.41203E+40  5.19371E+43
       559    55800.0  4.81554E+40  5.67526E+43
       560    55900.0  5.25541E+40  6.20080E+43
       561    56000.0  5.73485E+40  6.77429E+43
       562    56100.0  6.25737E+40  7.40003E+43
       563    56200.0  6.82679E+40  8.08270E+43
       564    56300.0  7.44725E+40  8.82743E+43
       565    56400.0  8.12325E+40  9.63975E+43
       566    56500.0  8.85971E+40  1.05257E+44
       567    56600.0  9.66193E+40  1.14919E+44
       568    56700.0  1.05357E+41  1.25455E+44
       569    56800.0  1.14873E+41  1.36942E+44
       570    56900.0  1.25236E+41  1.49466E+44
       571    57000.0  1.36520E+41  1.63118E+44
       572    57100.0  1.48805E+41  1.77998E+44
       573    57200.0  1.62179E+41  1.94216E+44
       574    57300.0  1.76737E+41  2.11890E+44
       575    57400.0  1.92583E+41  2.31148E+44
       576    57500.0  2.09828E+41  2.52131E+44
       577    57600.0  2.28594E+41  2.74990E+44
       578    57700.0  2.49014E+41  2.99892E+44
